sales_person,country,product,sale_date,amount,boxes_shipped
Camilla Castle,India,50% Dark Bites,04/07/2022,9275.00,411
Oby Sorrel,India,Organic Choco Syrup,08/07/2022,6181.00,56
Jan Morforth,USA,Peanut Butter Cubes,22/07/2022,9037.00,102
Gigi Bohling,USA,Choco Coated Almonds,02/03/2022,12313.00,103
Gigi Bohling,UK,Almond Choco,10/01/2022,5642.00,9
Jehu Rudeforth,New Zealand,White Choc,11/03/2022,2800.00,241
Andria Kimpton,New Zealand,Peanut Butter Cubes,20/06/2022,959.00,265
Van Tuxwell,UK,Organic Choco Syrup,26/08/2022,2002.00,214
Roddy Speechley,Canada,Milk Bars,13/07/2022,609.00,32
Camilla Castle,USA,Spicy Special Slims,11/02/2022,1274.00,244
Marney O'Breen,USA,Orange Choco,27/01/2022,7595.00,181
Van Tuxwell,UK,99% Dark & Pure,31/01/2022,4725.00,137
Camilla Castle,USA,White Choc,18/08/2022,9681.00,24
Andria Kimpton,USA,Raspberry Choco,30/06/2022,14504.00,21
Dotty Strutley,Australia,Fruit & Nut Bars,23/08/2022,280.00,311
Brien Boise,New Zealand,Mint Chip Choco,01/08/2022,63.00,181
Roddy Speechley,New Zealand,After Nines,25/05/2022,8001.00,10
Roddy Speechley,Canada,Organic Choco Syrup,10/01/2022,4032.00,82
Dennison Crosswaite,Australia,70% Dark Bites,07/02/2022,5859.00,108
Karlen McCaffrey,USA,Orange Choco,12/05/2022,11095.00,401
Madelene Upcott,Australia,Spicy Special Slims,07/03/2022,7182.00,408
Dennison Crosswaite,Australia,85% Dark Bars,05/04/2022,6881.00,420
Andria Kimpton,Canada,Caramel Stuffed Bars,03/01/2022,7154.00,348
Dennison Crosswaite,UK,Eclairs,24/03/2022,6188.00,270
Madelene Upcott,India,Raspberry Choco,07/07/2022,4221.00,9
Van Tuxwell,USA,After Nines,26/07/2022,630.00,264
Wilone O'Kielt,Australia,Organic Choco Syrup,07/07/2022,1743.00,111
Karlen McCaffrey,Canada,50% Dark Bites,15/07/2022,2919.00,65
Roddy Speechley,New Zealand,Orange Choco,01/04/2022,49.00,97
Beverie Moffet,Australia,Eclairs,20/06/2022,1827.00,6
Kelci Walkden,UK,Fruit & Nut Bars,29/06/2022,13006.00,482
Marney O'Breen,USA,50% Dark Bites,15/06/2022,1064.00,106
Husein Augar,USA,After Nines,08/04/2022,11571.00,180
Dennison Crosswaite,Australia,Raspberry Choco,14/03/2022,5740.00,31
Andria Kimpton,USA,Fruit & Nut Bars,15/07/2022,1456.00,359
Kelci Walkden,India,Eclairs,19/04/2022,5334.00,80
Marney O'Breen,USA,99% Dark & Pure,28/03/2022,4151.00,296
Brien Boise,Canada,Spicy Special Slims,04/03/2022,8106.00,101
Karlen McCaffrey,New Zealand,70% Dark Bites,02/08/2022,126.00,40
Husein Augar,UK,Spicy Special Slims,25/08/2022,4697.00,42
Marney O'Breen,USA,Almond Choco,25/02/2022,7798.00,167
Kelci Walkden,India,Orange Choco,07/06/2022,9408.00,138
Jan Morforth,India,Spicy Special Slims,12/04/2022,1939.00,520
Ches Bonnell,India,Spicy Special Slims,06/07/2022,10906.00,94
Kelci Walkden,UK,Smooth Sliky Salty,19/01/2022,5929.00,175
Madelene Upcott,Australia,Fruit & Nut Bars,05/01/2022,5579.00,92
Madelene Upcott,Canada,70% Dark Bites,24/01/2022,10927.00,141
Wilone O'Kielt,Australia,Drinking Coco,06/04/2022,623.00,283
Gunar Cockshoot,Australia,Fruit & Nut Bars,15/06/2022,6013.00,21
Gigi Bohling,Canada,Baker's Choco Chips,28/01/2022,1505.00,47
Kelci Walkden,India,Caramel Stuffed Bars,16/03/2022,476.00,125
Rafaelita Blaksland,Australia,Drinking Coco,21/02/2022,11550.00,396
Kelci Walkden,USA,Manuka Honey Choco,16/02/2022,17318.00,87
Jehu Rudeforth,Canada,Spicy Special Slims,13/01/2022,1848.00,27
Kelci Walkden,Australia,Eclairs,23/03/2022,7273.00,547
Curtice Advani,Canada,Spicy Special Slims,16/06/2022,854.00,118
Oby Sorrel,India,Raspberry Choco,14/04/2022,6832.00,46
Kelci Walkden,UK,Eclairs,25/01/2022,4606.00,57
Jan Morforth,India,Almond Choco,11/03/2022,4466.00,22
Dotty Strutley,UK,Almond Choco,28/07/2022,16114.00,96
Marney O'Breen,New Zealand,After Nines,09/03/2022,1561.00,44
Husein Augar,Australia,Orange Choco,28/06/2022,8897.00,188
Marney O'Breen,Australia,Milk Bars,28/07/2022,2464.00,387
Kelci Walkden,Canada,99% Dark & Pure,15/08/2022,4830.00,50
Kaine Padly,Australia,Manuka Honey Choco,12/01/2022,2765.00,264
Beverie Moffet,New Zealand,White Choc,24/03/2022,7126.00,7
Van Tuxwell,UK,Milk Bars,25/07/2022,4263.00,90
Oby Sorrel,Canada,99% Dark & Pure,01/08/2022,3605.00,403
Van Tuxwell,India,Organic Choco Syrup,16/05/2022,19929.00,174
Roddy Speechley,India,Smooth Sliky Salty,10/08/2022,5103.00,140
Jan Morforth,India,Eclairs,05/01/2022,2541.00,27
Ches Bonnell,UK,Smooth Sliky Salty,11/07/2022,5663.00,110
Wilone O'Kielt,USA,After Nines,25/04/2022,392.00,30
Gigi Bohling,New Zealand,Fruit & Nut Bars,04/04/2022,10976.00,121
Barr Faughny,USA,Raspberry Choco,12/04/2022,9282.00,101
Wilone O'Kielt,New Zealand,85% Dark Bars,02/08/2022,1827.00,117
Gigi Bohling,New Zealand,Manuka Honey Choco,28/06/2022,8267.00,272
Ches Bonnell,Australia,Eclairs,05/07/2022,4116.00,128
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,07/06/2022,2093.00,45
Brien Boise,New Zealand,Smooth Sliky Salty,18/01/2022,1015.00,27
Brien Boise,Australia,Baker's Choco Chips,04/01/2022,12516.00,212
Dennison Crosswaite,Australia,99% Dark & Pure,31/01/2022,2758.00,18
Kelci Walkden,India,Almond Choco,14/03/2022,3297.00,149
Camilla Castle,Australia,70% Dark Bites,29/04/2022,6048.00,477
Oby Sorrel,India,Smooth Sliky Salty,07/02/2022,10101.00,108
Kaine Padly,UK,Organic Choco Syrup,31/03/2022,2282.00,178
Marney O'Breen,India,Caramel Stuffed Bars,16/03/2022,4361.00,81
Karlen McCaffrey,UK,Eclairs,25/01/2022,7798.00,196
Van Tuxwell,India,Baker's Choco Chips,20/06/2022,3052.00,447
Gigi Bohling,UK,After Nines,29/03/2022,8029.00,175
Curtice Advani,Australia,Orange Choco,12/07/2022,854.00,136
Jehu Rudeforth,Canada,Smooth Sliky Salty,11/07/2022,5460.00,138
Karlen McCaffrey,Canada,Smooth Sliky Salty,19/01/2022,3017.00,184
Andria Kimpton,USA,85% Dark Bars,05/04/2022,8911.00,82
Jehu Rudeforth,Canada,Milk Bars,21/02/2022,7203.00,12
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,20/05/2022,13083.00,14
Mallorie Waber,Australia,Milk Bars,29/07/2022,2779.00,104
Barr Faughny,USA,Fruit & Nut Bars,28/01/2022,9058.00,46
Marney O'Breen,UK,Caramel Stuffed Bars,19/07/2022,3549.00,112
Mallorie Waber,New Zealand,Manuka Honey Choco,13/04/2022,9436.00,11
Roddy Speechley,India,Peanut Butter Cubes,11/02/2022,10283.00,21
Roddy Speechley,New Zealand,Milk Bars,02/03/2022,5446.00,116
Ches Bonnell,Australia,White Choc,02/03/2022,1043.00,202
Van Tuxwell,USA,99% Dark & Pure,28/07/2022,12586.00,6
Kelci Walkden,India,After Nines,07/01/2022,1687.00,520
Brien Boise,UK,White Choc,12/04/2022,5299.00,167
Van Tuxwell,Canada,Almond Choco,27/06/2022,3213.00,72
Jehu Rudeforth,Australia,50% Dark Bites,14/01/2022,5194.00,418
Karlen McCaffrey,UK,Baker's Choco Chips,07/02/2022,4753.00,389
Jehu Rudeforth,Australia,Orange Choco,23/03/2022,13706.00,26
Marney O'Breen,India,Peanut Butter Cubes,10/01/2022,6489.00,146
Oby Sorrel,UK,Choco Coated Almonds,17/03/2022,9324.00,41
Gigi Bohling,USA,Spicy Special Slims,21/01/2022,10829.00,54
Barr Faughny,Australia,White Choc,04/07/2022,8113.00,370
Kaine Padly,Canada,Peanut Butter Cubes,04/07/2022,3269.00,176
Dotty Strutley,USA,Manuka Honey Choco,10/08/2022,273.00,210
Dennison Crosswaite,Australia,50% Dark Bites,01/04/2022,7287.00,12
Gigi Bohling,India,Raspberry Choco,22/02/2022,2583.00,159
Camilla Castle,UK,White Choc,03/01/2022,9982.00,187
Karlen McCaffrey,India,Drinking Coco,31/05/2022,4795.00,233
Dotty Strutley,UK,99% Dark & Pure,03/01/2022,9310.00,282
Husein Augar,New Zealand,Caramel Stuffed Bars,27/01/2022,497.00,475
Barr Faughny,UK,50% Dark Bites,28/01/2022,581.00,65
Curtice Advani,Australia,Organic Choco Syrup,28/06/2022,3472.00,311
Husein Augar,UK,Choco Coated Almonds,02/03/2022,4333.00,43
Wilone O'Kielt,Australia,After Nines,27/05/2022,3325.00,26
Dennison Crosswaite,USA,Almond Choco,30/06/2022,11718.00,84
Barr Faughny,Canada,Peanut Butter Cubes,07/06/2022,2100.00,78
Kaine Padly,USA,70% Dark Bites,12/05/2022,4018.00,100
Barr Faughny,New Zealand,Raspberry Choco,29/07/2022,6468.00,66
Dennison Crosswaite,UK,White Choc,03/08/2022,7238.00,265
Barr Faughny,India,Baker's Choco Chips,18/08/2022,6454.00,141
Van Tuxwell,New Zealand,Smooth Sliky Salty,14/06/2022,3115.00,42
Beverie Moffet,UK,White Choc,30/06/2022,6475.00,76
Camilla Castle,New Zealand,Mint Chip Choco,13/06/2022,1162.00,190
Ches Bonnell,UK,Orange Choco,27/04/2022,14238.00,54
Jan Morforth,Australia,White Choc,27/07/2022,3472.00,32
Mallorie Waber,Canada,85% Dark Bars,20/04/2022,1428.00,424
Rafaelita Blaksland,India,Spicy Special Slims,04/01/2022,8064.00,134
Ches Bonnell,Australia,Mint Chip Choco,21/02/2022,9660.00,92
Karlen McCaffrey,Australia,White Choc,05/01/2022,7357.00,48
Beverie Moffet,India,Drinking Coco,15/07/2022,6055.00,46
Brien Boise,Australia,Choco Coated Almonds,25/05/2022,5124.00,62
Karlen McCaffrey,Canada,Eclairs,20/04/2022,3479.00,358
Gigi Bohling,USA,99% Dark & Pure,02/06/2022,784.00,249
Marney O'Breen,UK,Smooth Sliky Salty,13/05/2022,18991.00,88
Beverie Moffet,New Zealand,Baker's Choco Chips,03/08/2022,1372.00,144
Beverie Moffet,Australia,Milk Bars,25/05/2022,735.00,390
Van Tuxwell,UK,Raspberry Choco,16/03/2022,6538.00,79
Jan Morforth,Australia,Orange Choco,04/07/2022,3199.00,122
Jehu Rudeforth,India,50% Dark Bites,05/07/2022,3472.00,135
Madelene Upcott,USA,After Nines,15/03/2022,4571.00,430
Barr Faughny,UK,Raspberry Choco,22/08/2022,5481.00,69
Ches Bonnell,Australia,70% Dark Bites,12/01/2022,3136.00,125
Marney O'Breen,UK,Baker's Choco Chips,10/06/2022,252.00,154
Kaine Padly,Australia,Peanut Butter Cubes,25/03/2022,5460.00,286
Rafaelita Blaksland,India,Almond Choco,27/07/2022,3395.00,99
Husein Augar,UK,Caramel Stuffed Bars,15/04/2022,14938.00,433
Roddy Speechley,India,Orange Choco,27/06/2022,4053.00,19
Jehu Rudeforth,UK,70% Dark Bites,14/04/2022,5565.00,258
Husein Augar,Australia,Manuka Honey Choco,15/03/2022,7161.00,92
Madelene Upcott,USA,Eclairs,18/03/2022,8883.00,200
Brien Boise,India,Eclairs,29/04/2022,1351.00,61
Mallorie Waber,New Zealand,White Choc,25/02/2022,3171.00,246
Husein Augar,USA,Milk Bars,02/03/2022,854.00,56
Van Tuxwell,Australia,Milk Bars,20/06/2022,7910.00,87
Beverie Moffet,Canada,White Choc,15/07/2022,9275.00,173
Dotty Strutley,Australia,50% Dark Bites,12/05/2022,3108.00,252
Mallorie Waber,New Zealand,Organic Choco Syrup,01/07/2022,5075.00,256
Husein Augar,USA,85% Dark Bars,08/08/2022,378.00,54
Madelene Upcott,Australia,50% Dark Bites,25/07/2022,7350.00,6
Wilone O'Kielt,UK,Drinking Coco,18/05/2022,3388.00,55
Camilla Castle,India,Peanut Butter Cubes,15/07/2022,11837.00,277
Curtice Advani,India,70% Dark Bites,05/07/2022,2282.00,44
Mallorie Waber,USA,Manuka Honey Choco,04/07/2022,5425.00,96
Dotty Strutley,UK,70% Dark Bites,20/06/2022,1267.00,216
Gunar Cockshoot,Australia,Almond Choco,25/01/2022,3752.00,424
Kaine Padly,New Zealand,Spicy Special Slims,01/07/2022,7728.00,37
Gigi Bohling,USA,50% Dark Bites,13/04/2022,2296.00,59
Beverie Moffet,UK,Smooth Sliky Salty,04/05/2022,4403.00,76
Beverie Moffet,Australia,Baker's Choco Chips,04/08/2022,3192.00,109
Beverie Moffet,India,70% Dark Bites,01/06/2022,448.00,146
Jehu Rudeforth,UK,Choco Coated Almonds,22/04/2022,4270.00,185
Kaine Padly,USA,50% Dark Bites,03/08/2022,70.00,27
Ches Bonnell,USA,Orange Choco,10/06/2022,1743.00,69
Gunar Cockshoot,UK,Manuka Honey Choco,27/06/2022,6762.00,46
Marney O'Breen,Australia,Smooth Sliky Salty,03/01/2022,3745.00,170
Marney O'Breen,India,After Nines,11/07/2022,2639.00,179
Ches Bonnell,New Zealand,Milk Bars,17/08/2022,4389.00,126
Rafaelita Blaksland,USA,Fruit & Nut Bars,18/01/2022,2604.00,65
Ches Bonnell,India,Organic Choco Syrup,08/03/2022,16569.00,99
Mallorie Waber,Australia,Orange Choco,07/03/2022,14658.00,275
Husein Augar,India,70% Dark Bites,09/05/2022,6454.00,157
Barr Faughny,New Zealand,85% Dark Bars,23/05/2022,2100.00,157
Madelene Upcott,UK,Caramel Stuffed Bars,15/04/2022,161.00,145
Gigi Bohling,Australia,Drinking Coco,27/07/2022,2807.00,139
Marney O'Breen,Canada,Choco Coated Almonds,22/08/2022,2639.00,406
Ches Bonnell,USA,70% Dark Bites,11/05/2022,4571.00,122
Madelene Upcott,India,Organic Choco Syrup,26/01/2022,4781.00,38
Barr Faughny,USA,50% Dark Bites,14/04/2022,13034.00,117
Dennison Crosswaite,New Zealand,Mint Chip Choco,05/04/2022,6454.00,417
Marney O'Breen,New Zealand,Smooth Sliky Salty,14/06/2022,8484.00,57
Brien Boise,Canada,Almond Choco,13/04/2022,4781.00,125
Beverie Moffet,Australia,White Choc,27/06/2022,2240.00,166
Dotty Strutley,Australia,Eclairs,26/01/2022,6979.00,3
Barr Faughny,UK,White Choc,05/07/2022,1652.00,72
Beverie Moffet,Canada,Baker's Choco Chips,11/01/2022,13447.00,95
Kelci Walkden,USA,White Choc,07/03/2022,9422.00,22
Kaine Padly,Canada,50% Dark Bites,04/03/2022,8687.00,100
Karlen McCaffrey,Canada,Organic Choco Syrup,15/07/2022,2415.00,312
Kaine Padly,UK,Peanut Butter Cubes,11/05/2022,6272.00,86
Karlen McCaffrey,USA,Milk Bars,27/01/2022,4389.00,7
Karlen McCaffrey,India,Orange Choco,27/06/2022,3122.00,149
Ches Bonnell,India,Smooth Sliky Salty,03/08/2022,8043.00,18
Wilone O'Kielt,New Zealand,Mint Chip Choco,19/08/2022,11662.00,242
Wilone O'Kielt,Australia,Fruit & Nut Bars,15/06/2022,392.00,102
Dennison Crosswaite,UK,Peanut Butter Cubes,07/02/2022,8925.00,158
Karlen McCaffrey,Australia,Almond Choco,08/07/2022,7294.00,128
Dennison Crosswaite,India,Milk Bars,21/04/2022,1526.00,96
Ches Bonnell,UK,Mint Chip Choco,08/04/2022,2688.00,209
Husein Augar,Australia,50% Dark Bites,19/08/2022,14889.00,52
Jan Morforth,India,Fruit & Nut Bars,04/05/2022,2912.00,55
Mallorie Waber,USA,85% Dark Bars,11/05/2022,2632.00,108
Mallorie Waber,USA,Eclairs,22/03/2022,6328.00,51
Dennison Crosswaite,Canada,Spicy Special Slims,10/08/2022,2527.00,216
Dennison Crosswaite,USA,Fruit & Nut Bars,04/05/2022,1414.00,318
Kelci Walkden,USA,99% Dark & Pure,18/08/2022,7714.00,238
Dotty Strutley,Canada,Raspberry Choco,03/08/2022,4347.00,238
Marney O'Breen,New Zealand,Milk Bars,14/01/2022,7490.00,315
Madelene Upcott,Australia,Choco Coated Almonds,08/04/2022,2058.00,72
Kelci Walkden,UK,Orange Choco,01/08/2022,3640.00,3
Dennison Crosswaite,Canada,Eclairs,15/03/2022,455.00,45
Karlen McCaffrey,India,Mint Chip Choco,15/07/2022,10990.00,184
Barr Faughny,New Zealand,Almond Choco,13/01/2022,5558.00,127
Mallorie Waber,Australia,85% Dark Bars,26/08/2022,2541.00,53
Ches Bonnell,Canada,Eclairs,10/01/2022,1876.00,172
Gigi Bohling,Australia,White Choc,11/05/2022,5523.00,87
Beverie Moffet,New Zealand,85% Dark Bars,30/08/2022,11200.00,22
Kaine Padly,USA,Caramel Stuffed Bars,21/07/2022,5593.00,122
Mallorie Waber,Australia,Almond Choco,01/08/2022,7882.00,125
Brien Boise,Canada,85% Dark Bars,17/02/2022,10241.00,259
Brien Boise,Australia,Drinking Coco,27/07/2022,6832.00,156
Dotty Strutley,USA,Orange Choco,23/02/2022,1379.00,107
Rafaelita Blaksland,Australia,50% Dark Bites,22/03/2022,3010.00,40
Dennison Crosswaite,India,99% Dark & Pure,23/06/2022,6888.00,311
Curtice Advani,UK,White Choc,01/02/2022,1540.00,73
Kelci Walkden,Australia,After Nines,02/03/2022,6916.00,288
Gigi Bohling,UK,Fruit & Nut Bars,06/04/2022,1232.00,86
Gunar Cockshoot,Australia,Raspberry Choco,17/03/2022,602.00,72
Curtice Advani,UK,Fruit & Nut Bars,24/06/2022,10927.00,136
Barr Faughny,Canada,50% Dark Bites,19/07/2022,10185.00,303
Curtice Advani,USA,Spicy Special Slims,11/07/2022,1603.00,264
Brien Boise,India,Almond Choco,13/01/2022,2170.00,218
Oby Sorrel,New Zealand,Smooth Sliky Salty,07/07/2022,8673.00,60
Jan Morforth,India,85% Dark Bars,25/05/2022,4760.00,418
Marney O'Breen,India,Fruit & Nut Bars,13/04/2022,4753.00,151
Andria Kimpton,New Zealand,50% Dark Bites,02/03/2022,3374.00,202
Gunar Cockshoot,Canada,Raspberry Choco,23/06/2022,2058.00,126
Kelci Walkden,USA,Drinking Coco,26/07/2022,6454.00,160
Van Tuxwell,Canada,White Choc,22/03/2022,420.00,3
Rafaelita Blaksland,USA,Baker's Choco Chips,09/06/2022,2863.00,58
Van Tuxwell,Australia,Caramel Stuffed Bars,17/05/2022,5936.00,59
Ches Bonnell,New Zealand,Peanut Butter Cubes,04/03/2022,889.00,273
Kelci Walkden,Canada,Milk Bars,07/07/2022,16016.00,28
Dennison Crosswaite,Canada,Choco Coated Almonds,13/01/2022,10479.00,118
Curtice Advani,Australia,Almond Choco,13/07/2022,2912.00,75
Madelene Upcott,Australia,85% Dark Bars,16/06/2022,1575.00,329
Gigi Bohling,UK,50% Dark Bites,18/07/2022,8197.00,69
Ches Bonnell,UK,Manuka Honey Choco,30/05/2022,4221.00,395
Gigi Bohling,UK,70% Dark Bites,21/06/2022,840.00,81
Jehu Rudeforth,Australia,Peanut Butter Cubes,24/06/2022,5691.00,38
Marney O'Breen,India,Eclairs,13/01/2022,3472.00,96
Curtice Advani,Canada,Fruit & Nut Bars,04/04/2022,4193.00,195
Kaine Padly,UK,Smooth Sliky Salty,08/06/2022,9016.00,554
Karlen McCaffrey,Canada,Spicy Special Slims,02/08/2022,6328.00,47
Kelci Walkden,USA,Organic Choco Syrup,21/07/2022,9870.00,152
Curtice Advani,India,Spicy Special Slims,20/06/2022,161.00,134
Roddy Speechley,India,After Nines,22/06/2022,2576.00,112
Camilla Castle,Australia,Caramel Stuffed Bars,02/05/2022,3178.00,16
Curtice Advani,Australia,99% Dark & Pure,07/01/2022,4676.00,84
Mallorie Waber,UK,50% Dark Bites,21/02/2022,5502.00,99
Ches Bonnell,Canada,Baker's Choco Chips,21/03/2022,7462.00,371
Van Tuxwell,UK,Drinking Coco,04/04/2022,5803.00,136
Gunar Cockshoot,Canada,Fruit & Nut Bars,24/03/2022,13888.00,203
Gunar Cockshoot,New Zealand,Spicy Special Slims,28/06/2022,6867.00,183
Gunar Cockshoot,Australia,Drinking Coco,14/01/2022,2317.00,195
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,07/02/2022,1218.00,135
Dennison Crosswaite,New Zealand,Drinking Coco,11/01/2022,4109.00,197
Jehu Rudeforth,India,99% Dark & Pure,25/02/2022,1953.00,242
Dotty Strutley,Australia,Mint Chip Choco,01/08/2022,6790.00,25
Roddy Speechley,Australia,Mint Chip Choco,05/05/2022,6797.00,252
Madelene Upcott,New Zealand,Raspberry Choco,18/05/2022,9226.00,415
Dotty Strutley,New Zealand,Choco Coated Almonds,04/01/2022,5733.00,348
Roddy Speechley,New Zealand,50% Dark Bites,09/05/2022,4312.00,211
Rafaelita Blaksland,India,Smooth Sliky Salty,06/05/2022,1638.00,81
Husein Augar,UK,White Choc,13/01/2022,10815.00,145
Roddy Speechley,Australia,Almond Choco,24/06/2022,4466.00,74
Van Tuxwell,USA,Caramel Stuffed Bars,14/02/2022,987.00,21
Camilla Castle,Australia,99% Dark & Pure,18/01/2022,4669.00,101
Kaine Padly,India,Milk Bars,02/05/2022,2905.00,91
Ches Bonnell,Australia,Smooth Sliky Salty,16/05/2022,7490.00,54
Mallorie Waber,USA,Almond Choco,28/01/2022,6986.00,368
Kaine Padly,Canada,99% Dark & Pure,24/06/2022,1288.00,409
Oby Sorrel,UK,After Nines,18/07/2022,2345.00,104
Gunar Cockshoot,UK,Eclairs,13/04/2022,3619.00,164
Dotty Strutley,USA,Caramel Stuffed Bars,15/04/2022,16982.00,76
Jan Morforth,India,Peanut Butter Cubes,04/01/2022,8092.00,178
Husein Augar,Australia,Eclairs,04/07/2022,6993.00,31
Beverie Moffet,USA,Smooth Sliky Salty,24/03/2022,2317.00,352
Camilla Castle,Australia,Manuka Honey Choco,17/03/2022,637.00,169
Oby Sorrel,Australia,Almond Choco,15/02/2022,6034.00,223
Jan Morforth,USA,Orange Choco,29/06/2022,980.00,146
Gigi Bohling,USA,Fruit & Nut Bars,24/05/2022,2821.00,112
Mallorie Waber,UK,Milk Bars,10/01/2022,3563.00,284
Curtice Advani,USA,Raspberry Choco,15/03/2022,2996.00,139
Marney O'Breen,Canada,Milk Bars,08/02/2022,2436.00,309
Brien Boise,India,Caramel Stuffed Bars,25/02/2022,1540.00,100
Gunar Cockshoot,USA,Eclairs,03/05/2022,6916.00,42
Roddy Speechley,USA,Fruit & Nut Bars,14/06/2022,5509.00,24
Gunar Cockshoot,India,50% Dark Bites,09/08/2022,12992.00,83
Wilone O'Kielt,New Zealand,Manuka Honey Choco,11/07/2022,3724.00,234
Kaine Padly,UK,Manuka Honey Choco,14/01/2022,7133.00,118
Van Tuxwell,Canada,Manuka Honey Choco,24/02/2022,8617.00,46
